,state_po,county,cor_pred,Repnum,Demnum,FIPS
0,NH,Hillsborough,5,3,2,33011
1,OH,Sandusky,5,3,2,39143
2,DE,Kent,5,3,2,10001
3,OH,Ottawa,5,3,2,39123
4,WA,Clallam,5,3,2,53009
5,VA,Roanoke,5,3,2,51161
6,VA,Richmond,5,3,2,51159
7,WI,Marquette,5,3,2,55077
8,IL,Carroll,5,3,2,17015
9,NY,Essex,5,3,2,36031
10,MI,Van Buren,5,3,2,26159
11,WI,Lincoln,5,3,2,55069
12,NY,Cortland,5,3,2,36023
13,ND,Ransom,5,3,2,38073
14,ND,Sargent,5,3,2,38081
15,OH,Wood,5,3,2,39173
16,IL,Jo Daviess,5,3,2,17085
17,MI,Shiawassee,5,3,2,26155
18,ME,Washington,5,3,2,23029
19,SD,Marshall,5,3,2,46091
20,NY,Madison,5,3,2,36053
21,WI,Racine,5,3,2,55101
22,NY,Otsego,5,3,2,36077
23,NY,Saratoga,5,3,2,36091
24,MT,Blaine,5,3,2,30005
25,VT,Essex,5,3,2,50009
26,IA,Marshall,5,3,2,19127
27,NY,Warren,5,3,2,36113
28,WI,Winnebago,5,3,2,55139
29,NY,Washington,5,3,2,36115
30,VA,Westmoreland,5,3,2,51193
31,WI,Sawyer,5,3,2,55113
32,IA,Union,5,3,2,19175
33,MI,Eaton,5,3,2,26045
34,NY,Orange,5,3,2,36071
35,MN,Traverse,5,3,2,27155
36,WI,Richland,5,3,2,55103
37,IA,Bremer,5,3,2,19017
38,WI,Juneau,5,3,2,55057
39,MS,Chickasaw,5,3,2,28017
40,MN,Houston,5,3,2,27055
41,OR,Tillamook,5,3,2,41057
42,IN,Porter,5,3,2,18127
43,MT,Hill,5,3,2,30041
44,IN,Delaware,5,3,2,18035
45,VA,Franklin,5,3,2,51067
46,NM,Hidalgo,5,3,2,35023
47,VA,Essex,5,3,2,51057
48,IN,Vigo,5,3,2,18167
49,MN,Clay,5,3,2,27027
50,VA,Bedford,5,5,0,51019
51,IL,Warren,5,3,2,17187
52,NM,Valencia,5,3,2,35061
53,WI,Door,5,3,2,55029
54,NY,Oswego,5,3,2,36075
55,SC,Barnwell,5,3,2,45011
56,SC,Colleton,5,3,2,45029
57,SC,Calhoun,5,3,2,45017
58,IA,Allamakee,5,3,2,19005
59,VA,Buckingham,5,3,2,51029
60,WI,Forest,5,3,2,55041
61,ND,Towner,4,3,1,38095
62,ND,Steele,4,2,2,38091
63,MI,Calhoun,4,2,2,26025
64,GA,Newton,4,2,2,13217
65,GA,Douglas,4,2,2,13097
66,NE,Thurston,4,2,2,31173
67,NH,Belknap,4,3,1,33001
68,MD,Kent,4,3,1,24029
69,NH,Carroll,4,3,1,33003
70,NH,Coos,4,2,2,33007
71,ND,Eddy,4,3,1,38027
72,GA,Peach,4,2,2,13225
73,NE,Saline,4,3,1,31151
