,state_po,county,cor_pred,Repnum_x,Demnum_x,Repnum_y,Demnum_y
0,NH,Hillsborough,5,3,2,3,2
1,OH,Sandusky,5,3,2,3,2
2,DE,Kent,5,3,2,3,2
3,OH,Ottawa,5,3,2,3,2
4,WA,Clallam,5,3,2,3,2
5,VA,Roanoke,5,3,2,3,2
6,VA,Richmond,5,3,2,3,2
7,WI,Marquette,5,3,2,3,2
8,IL,Carroll,5,3,2,3,2
9,NY,Essex,5,3,2,3,2
10,MI,Van Buren,5,3,2,3,2
11,WI,Lincoln,5,3,2,3,2
12,NY,Cortland,5,3,2,3,2
13,ND,Ransom,5,3,2,3,2
14,ND,Sargent,5,3,2,3,2
15,OH,Wood,5,3,2,3,2
16,IL,Jo Daviess,5,3,2,3,2
17,MI,Shiawassee,5,3,2,3,2
18,ME,Washington,5,3,2,3,2
19,SD,Marshall,5,3,2,3,2
20,NY,Madison,5,3,2,3,2
21,WI,Racine,5,3,2,3,2
22,NY,Otsego,5,3,2,3,2
23,NY,Saratoga,5,3,2,3,2
24,MT,Blaine,5,3,2,3,2
25,VT,Essex,5,3,2,3,2
26,IA,Marshall,5,3,2,3,2
27,NY,Warren,5,3,2,3,2
28,WI,Winnebago,5,3,2,3,2
29,NY,Washington,5,3,2,3,2
30,VA,Westmoreland,5,3,2,3,2
31,WI,Sawyer,5,3,2,3,2
32,IA,Union,5,3,2,3,2
33,MI,Eaton,5,3,2,3,2
34,NY,Orange,5,3,2,3,2
35,MN,Traverse,5,3,2,3,2
36,WI,Richland,5,3,2,3,2
37,IA,Bremer,5,3,2,3,2
38,WI,Juneau,5,3,2,3,2
39,MS,Chickasaw,5,3,2,3,2
40,VA,Chesapeake,5,3,2,3,2
41,MN,Houston,5,3,2,3,2
42,OR,Tillamook,5,3,2,3,2
43,IN,Porter,5,3,2,3,2
44,MT,Hill,5,3,2,3,2
45,IN,Delaware,5,3,2,3,2
46,VA,Franklin,5,3,2,3,2
47,NM,Hidalgo,5,3,2,3,2
48,VA,Essex,5,3,2,3,2
49,IN,Vigo,5,3,2,3,2
50,MN,Clay,5,3,2,3,2
51,VA,Bedford,5,5,0,5,0
52,IL,Warren,5,3,2,3,2
53,NM,Valencia,5,3,2,3,2
54,WI,Door,5,3,2,3,2
55,NY,Oswego,5,3,2,3,2
56,SC,Barnwell,5,3,2,3,2
57,SC,Colleton,5,3,2,3,2
58,SC,Calhoun,5,3,2,3,2
59,IA,Allamakee,5,3,2,3,2
60,VA,Buckingham,5,3,2,3,2
61,WI,Forest,5,3,2,3,2
62,ND,Towner,4,3,1,3,1
63,ND,Steele,4,2,2,2,2
64,MI,Calhoun,4,2,2,2,2
65,GA,Newton,4,2,2,2,2
66,GA,Douglas,4,2,2,2,2
67,NE,Thurston,4,2,2,2,2
68,NH,Belknap,4,3,1,3,1
69,MD,Kent,4,3,1,3,1
70,NH,Carroll,4,3,1,3,1
71,NH,Coos,4,2,2,2,2
72,ND,Eddy,4,3,1,3,1
73,GA,Peach,4,2,2,2,2
74,NE,Saline,4,3,1,3,1
75,ND,Mountrail,4,3,1,3,1
76,LA,East Baton Rouge,4,2,2,2,2
77,MI,Berrien,4,3,1,3,1
78,MI,Benzie,4,3,1,3,1
79,ND,Grand Forks,4,3,1,3,1
80,TX,Harris,4,2,2,2,2
81,ND,Nelson,4,3,1,3,1
82,FL,Pinellas,4,2,2,2,2
83,ND,Traill,4,3,1,3,1
84,TX,Kleberg,4,2,2,2,2
85,ME,Penobscot,4,2,2,2,2
86,GA,Early,4,3,1,3,1
87,GA,Baldwin,4,2,2,2,2
